lib,Genome,PE,Total_reads,Final_reads,Final_yield,Mito_frac,TSS_enrichment,FRoP
AVD_108,hg38,Paired-ended,68905494,47703992,0.692,0.00251,1.543,0.0274
AVD_109,hg38,Paired-ended,42879352,34839070,0.812,0.000338,23.31,0.811
AVD_110,hg38,Paired-ended,38681338,31414802,0.812,0.000666,21.1,0.761
AVD_111,hg38,Paired-ended,63238336,49117716,0.777,0.00631,1.309,0.0169
AVD_112,hg38,Paired-ended,7093516,5781074,0.815,0.012,1.407,0.022
AVD_113,hg38,Paired-ended,5735882,4618512,0.805,0.00385,1.405,0.0194
AVD_114,hg38,Paired-ended,4122498,3264924,0.792,0.00407,1.324,0.0187
AVD_115,hg38,Paired-ended,6637022,5236522,0.789,0.005,1.298,0.0184
AVD_116,hg38,Paired-ended,7232566,5664002,0.783,0.00494,1.327,0.0181
AVD_117,hg38,Paired-ended,6463842,5104688,0.79,0.0053,1.338,0.0178
AVD_118,hg38,Paired-ended,3759394,3067684,0.816,0.00318,1.469,0.0196
AVD_119,hg38,Paired-ended,5984108,4841132,0.809,0.00347,1.326,0.0176
AVD_120,hg38,Paired-ended,4257692,3398682,0.798,0.00351,1.282,0.0176
AVD_122,hg38,Paired-ended,3284600,2593022,0.789,0.00373,1.356,0.018
AVD_123,mm10,Paired-ended,8314452,4601110,0.553,0.00985,1.342,0.0135
AVD_124,mm10,Paired-ended,8893844,3649474,0.41,0.00586,1.354,0.0131
AVD_125,mm10,Paired-ended,28091420,20702652,0.737,0.0129,14.91,0.134
AVD_126,mm10,Paired-ended,19010886,13828108,0.727,0.0235,14.04,0.123
AVD_127,mm10,Paired-ended,24620306,17734312,0.72,0.00921,9.725,0.0885
AVD_128,mm10,Paired-ended,23347030,16904890,0.724,0.0154,11.99,0.115
AVD_129,mm10,Paired-ended,21334356,16095904,0.754,0.0197,10.78,0.0868
AVD_130,mm10,Paired-ended,33519042,25026814,0.747,0.0192,13.34,0.0924
AVD_131,hg38,Paired-ended,9378902,7562868,0.806,0.00356,1.433,0.0191
AVD_132,hg38,Paired-ended,8953660,7124612,0.796,0.00417,1.372,0.0187
AVD_133,hg38,Paired-ended,9773572,7763950,0.794,0.00523,1.363,0.0187
AVD_134,hg38,Paired-ended,11739184,9490716,0.808,0.00449,1.384,0.0191
AVD_135,hg38,Paired-ended,7338640,6065384,0.826,0.0029,1.323,0.0173
AVD_136,hg38,Paired-ended,5706558,4709536,0.825,0.00312,1.353,0.0173
AVD_137,hg38,Paired-ended,11815436,9788060,0.828,0.00343,1.326,0.0175
AVD_138,hg38,Paired-ended,9013340,7443002,0.826,0.00316,1.291,0.0174
AVD_139,hg38,Paired-ended,10194864,8447088,0.829,0.00355,1.324,0.0175
AVD_14,hg38,Paired-ended,7345474,4913790,0.669,0.148,22.95,0.175
AVD_140,hg38,Paired-ended,11303604,9378412,0.83,0.00337,1.317,0.0173
AVD_141,hg38,Paired-ended,11838350,9813876,0.829,0.00333,1.307,0.0172
AVD_142,hg38,Paired-ended,12414672,10332758,0.832,0.00334,1.304,0.0179
AVD_143,hg38,Paired-ended,72281584,46724168,0.646,0.000105,1.896,0.0555
AVD_144,hg38,Paired-ended,87784998,55582804,0.633,0.000112,2.204,0.0596
AVD_145,hg38,Paired-ended,62016972,41860334,0.675,4.87e-05,2.226,0.077
AVD_146,hg38,Paired-ended,85129584,53917902,0.633,0.000141,2.582,0.0808
AVD_147,hg38,Paired-ended,84847992,56093582,0.661,5.25e-05,1.525,0.0675
AVD_148,hg38,Paired-ended,61602216,40637752,0.66,5.69e-05,1.556,0.0704
AVD_149,hg38,Paired-ended,74602162,57824922,0.775,2.67e-05,14.35,0.722
AVD_15,hg38,Paired-ended,6989856,4967982,0.711,0.115,27.56,0.257
AVD_150,hg38,Paired-ended,74404080,57599532,0.774,0.000155,15.04,0.721
AVD_151,hg38,Paired-ended,12029708,4542884,0.378,0.000347,9.936,0.119
AVD_152,hg38,Paired-ended,8279362,3832944,0.463,0.000268,19.32,0.326
AVD_153,hg38,Paired-ended,74455414,44635774,0.599,2.16e-05,1.328,0.0189
AVD_154,hg38,Paired-ended,49993572,18241268,0.365,0.000137,1.298,0.0175
AVD_155,hg38,Paired-ended,77741588,46919482,0.604,3.47e-05,1.328,0.0179
AVD_156,hg38,Paired-ended,71589952,49999796,0.698,0.00238,1.272,0.0184
AVD_157_1_2,mm10,Paired-ended,58257522,45064806,0.774,2.9e-05,27.8,0.84
AVD_157,mm10,Paired-ended,15665290,12538842,0.8,2.49e-05,32.51,0.851
AVD_158_1_2_3,mm10,Paired-ended,1220204,1034732,0.848,9.29e-06,30.03,0.861
AVD_158_1_2,mm10,Paired-ended,702770,594342,0.846,1.03e-05,30.59,0.863
AVD_158,mm10,Paired-ended,277770,230540,0.83,7.52e-06,33.47,0.87
AVD_159_1_2,mm10,Paired-ended,56747660,42694454,0.752,1.77e-06,39.26,0.909
AVD_159,mm10,Paired-ended,18064066,14403224,0.797,2.07e-06,42.98,0.914
AVD_16,hg38,Paired-ended,7676410,4967826,0.647,0.168,34.91,0.284
AVD_160_1_2_3,mm10,Paired-ended,52459640,33070450,0.63,1.56e-06,31.78,0.799
AVD_160_1_2,mm10,Paired-ended,32934558,22985278,0.698,1.28e-06,32.62,0.801
AVD_160,mm10,Paired-ended,12590322,9649522,0.766,8.27e-07,35.83,0.811
AVD_161,mm10,Paired-ended,6690830,2820072,0.421,3.24e-05,1.975,0.0284
AVD_162,mm10,Paired-ended,4910760,2247218,0.458,3.03e-05,3.713,0.0754
AVD_163,mm10,Paired-ended,4649072,1156534,0.249,2.18e-05,1.735,0.0241
AVD_164,mm10,Paired-ended,8736698,3730428,0.427,7.26e-06,1.783,0.0201
AVD_165_1_2,mm10,Paired-ended,83264120,4492098,0.0539,0.00381,1.411,0.0119
AVD_165,mm10,Paired-ended,6772108,355804,0.0525,0.0039,1.466,0.0128
AVD_166_1_2_3,mm10,Paired-ended,158539764,73269386,0.462,0.00307,1.294,0.016
AVD_166_1_2,mm10,Paired-ended,56261328,26032688,0.463,0.00307,1.3,0.016
